,entity,entity-labels,pmid
66,HINT1 mice,GENE_OR_GENE_PRODUCT,34098726
67,intravenous,IMMATERIAL_ANATOMICAL_ENTITY,34098726
68,adeno-associated virus 9,GENE_OR_GENE_PRODUCT,34098726
69,Hint1,GENE_OR_GENE_PRODUCT,34098726
70,cTnT,GENE_OR_GENE_PRODUCT,34098726
71,cardiac troponin T),TISSUE,34098726
72,transverse aortic,TISSUE,34098726
73,HINT1,GENE_OR_GENE_PRODUCT,34098726
74,AAV9,ORGANISM,34098726
75,Hoxa5,GENE_OR_GENE_PRODUCT,34098726
76,homeobox A5,GENE_OR_GENE_PRODUCT,34098726
77,HINT1,GENE_OR_GENE_PRODUCT,34098726
78,cardiac hypertrophy were,TISSUE,34098726
79,cellular,CELL,33998164
80,HINT1,GENE_OR_GENE_PRODUCT,33998164
81,HOXA5,GENE_OR_GENE_PRODUCT,33998164
82,HINT1,GENE_OR_GENE_PRODUCT,33998164
83,hearts,TISSUE,33998164
84,patients,ORGANISM,33998164
85,mice,ORGANISM,33998164
86,cardiac hypertrophy deteriorated,TISSUE,33998164
87,cardiac-specific,GENE_OR_GENE_PRODUCT,33998164
88,HINT1,GENE_OR_GENE_PRODUCT,33998164
89,cardiac hypertrophy,TISSUE,33998164
90,HOXA5,GENE_OR_GENE_PRODUCT,33998164
91,HINT1,GENE_OR_GENE_PRODUCT,33998164
92,HINT1,GENE_OR_GENE_PRODUCT,33998164
93,HOXA5,GENE_OR_GENE_PRODUCT,33998164
94,Hoxa5,GENE_OR_GENE_PRODUCT,33998164
95,TGF-beta,GENE_OR_GENE_PRODUCT,33998164
96,transforming growth factor beta) signal,GENE_OR_GENE_PRODUCT,33998164
97,HINT1,GENE_OR_GENE_PRODUCT,33998164
98,PKCbeta1,GENE_OR_GENE_PRODUCT,33998164
99,protein kinase C beta type 1) membrane,GENE_OR_GENE_PRODUCT,33998164
100,mitogen-activated protein kinase/extracellular signal-regulated kinase kinase/yin yang 1,GENE_OR_GENE_PRODUCT,33998164
101,HOXA5,GENE_OR_GENE_PRODUCT,33998164
102,cardiac hypertrophy.,TISSUE,33998164
103,HINT1,GENE_OR_GENE_PRODUCT,33998164
104,cardiac,ORGAN,33998164
105,HOXA5,GENE_OR_GENE_PRODUCT,33998164
106,HINT1,GENE_OR_GENE_PRODUCT,33998164
107,cardiac hypertrophy,TISSUE,33998164
108,heart,ORGAN,33998164
109,dermal fibroblasts,CELL,33998164
110,cardiomyocytes,CELL,33998164
111,cardiomyocytes,CELL,33998164
112,Ca2+,SIMPLE_CHEMICAL,33998164
113,Ca2+ -load,SIMPLE_CHEMICAL,33998164
114,endoplasmic reticulum,CELLULAR_COMPONENT,33998164
115,ER,GENE_OR_GENE_PRODUCT,33998164
116,ribosomal,CELLULAR_COMPONENT,33998164
117,mitochondrial,CELLULAR_COMPONENT,33998164
118,ER,GENE_OR_GENE_PRODUCT,33998164
119,lipid droplets,CELLULAR_COMPONENT,33998164
120,mitochondria,CELLULAR_COMPONENT,33998164
121,ER/mitochondria,GENE_OR_GENE_PRODUCT,33998164
122,PLN,GENE_OR_GENE_PRODUCT,33998164
123,heart,ORGAN,33998164
124,perinuclear aggregates,CELLULAR_COMPONENT,33998164
125,ER,GENE_OR_GENE_PRODUCT,33998164
126,heart,ORGAN,33998164
127,non-failing donor heart samples,TISSUE,33998164
128,PLN,GENE_OR_GENE_PRODUCT,33998164
129,EHTs,CELL,33998164
130,Ca2+,SIMPLE_CHEMICAL,33998164
131,parvalbumin,CELL,33998164
132,ER/mitochondria,GENE_OR_GENE_PRODUCT,33998164
133,PLN,GENE_OR_GENE_PRODUCT,33998164
134,Ca2+,SIMPLE_CHEMICAL,33998164
135,Ca2+,SIMPLE_CHEMICAL,33998164
136,Epicardial adipose tissue,TISSUE,31670476
137,visceral fat depot,TISSUE,31670476
138,heart,ORGAN,31670476
139,EAT,CELL,31670476
140,patients,ORGANISM,31670476
141,lipid,SIMPLE_CHEMICAL,31670476
142,serine proteinase inhibitor A3,GENE_OR_GENE_PRODUCT,31670476
143,Serpina3,GENE_OR_GENE_PRODUCT,31670476
144,EAT,CELL,31670476
145,Serpina3,GENE_OR_GENE_PRODUCT,31670476
146,plasma Serpina3,ORGANISM_SUBSTANCE,31670476
147,EAT,CELL,31670476
148,EAT,CELL,31670476
149,EAT,CELL,31670476
150,human sinoatrial node,ORGANISM,29484645
151,SAN,CELL,29484645
152,cardiomyocytes,CELL,29484645
153,samples,CANCER,29484645
154,SAN,CELL,29484645
155,cardiomyocytes,CELL,29484645
156,human donors,ORGANISM,29484645
157,cardiovascular,ORGAN,29484645
158,SAN,CELL,29484645
159,cardiomyocytes,CELL,29484645
160,SAN,TISSUE,29484645
161,cardiomyocytes,CELL,29484645
162,tissues,TISSUE,29484645
163,myosin light chain 4,GENE_OR_GENE_PRODUCT,29484645
164,myosin regulatory light chain 2-atrial,GENE_OR_GENE_PRODUCT,29484645
165,tropomyosin alpha-3 chain,GENE_OR_GENE_PRODUCT,29484645
166,SAN,TISSUE,29484645
167,cardiomyocytes,CELL,29484645
168,myosin light chain 3,GENE_OR_GENE_PRODUCT,29484645
169,myosin regulatory light chain 2-ventricular/cardiac,GENE_OR_GENE_PRODUCT,29484645
170,muscle,ORGAN,29484645
171,ventricle tissue,TISSUE,29484645
172,SAN,TISSUE,29484645
173,mitochondrial,CELLULAR_COMPONENT,29484645
174,tricarboxylic acid,GENE_OR_GENE_PRODUCT,29484645
175,cardiomyocytes tissue,TISSUE,29484645
176,fatty acid omega,GENE_OR_GENE_PRODUCT,29484645
177,SAN samples,CANCER,29484645
178,smooth muscle tissue,CELL,29484645
179,SAN,TISSUE,29484645
180,transgelin,GENE_OR_GENE_PRODUCT,29484645
181,SAN tissue,TISSUE,29484645
182,myocardium,TISSUE,29484645
183,smooth muscle,TISSUE,29484645
184,heart,ORGAN,29484645
185,heart,ORGAN,29133944
186,human organ,ORGANISM,29133944
187,human heart,ORGANISM,29133944
188,cardiac cell,CELL,29133944
189,tissue,TISSUE,29133944
190,cell,CELL,29133944
191,organellar,CELLULAR_COMPONENT,29133944
192,heart,ORGAN,29133944
193,cardiac fibroblasts,CELL,29133944
194,cellular,CELL,29133944
195,cell surface,CELLULAR_COMPONENT,29133944
196,heart,ORGAN,29133944
197,mitochondrial,CELLULAR_COMPONENT,29133944
198,heart,ORGAN,29133944
199,heart,ORGAN,29133944
